date,field_size,entry_fee,cash_line
2015-11-21,100,1,248.75
2015-11-21,100,1,252.25
2014-11-21,50,1,251.25
2015-11-22,100,2,262.50
2015-11-22,50,1,265.75
2015-11-23,100,2,257.00
2015-11-23,100,1,258.00
2015-11-23,50,1,255.25
2015-11-24,100,2,252.50
2015-11-24,100,2,258.00
2015-11-24,100,2,254.25
2015-11-24,100,2,254.75
2015-11-24,100,1,250.50
2015-11-24,10,3,249.50
2015-11-25,100,1,274.00
2015-11-25,100,2,273.25
2015-11-25,100,1,277.75
2015-11-29,100,2,257.70
2015-11-29,100,2,257.25
2015-11-29,100,2,263.00
2015-11-30,100,1,248.75
2015-11-30,100,1,245.00
2015-11-30,100,1,247.50
2015-12-01,100,1,247.00
2015-12-01,100,1,242.00
2015-12-01,100,1,242.50
2015-12-02,100,1,253.00
2015-12-02,100,1,254.75
2015-12-02,50,1,251.75
2015-12-03,50,1,223.75
2015-12-03,50,1,223.75
2015-12-03,50,1,223.50
2015-12-03,50,1,222.75
2015-12-04,100,1,236.75
2015-12-04,100,1,236.25
2015-12-04,100,1,242.00
2015-12-05,100,1,257.50
2015-12-05,100,2,258.00
2015-12-05,100,1,257.50
2015-12-06,100,1,234.25
2015-12-06,100,1,229.00
2015-12-06,100,1,229.25
2015-12-06,100,1,228.25
2015-12-07,100,1,225.75
2015-12-07,100,2,225.25
2015-12-07,100,1,224.00
